epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21447,2.93107,12.9446,1.96482,0.00153,0.09991,0.00173,0.00071,2.97886,10.1166,1.68651,1.25e-05,1.25e-05,1.25e-05
2,9.08645,2.77086,11.9166,1.86972,0.00158,0.10234,0.00187,0.00066,3.03506,10.3172,1.73091,3.06313e-05,3.06313e-05,3.06313e-05
3,11.9334,2.81962,12.5861,1.8697,0.001,0.06952,0.00116,0.00054,3.09276,10.677,1.75632,4.802e-05,4.802e-05,4.802e-05
4,14.7918,2.61937,11.0303,1.751,0.20231,0.11153,0.04419,0.03546,1.23048,5.94558,1.04678,6.46662e-05,6.46662e-05,6.46662e-05
5,18.4728,1.4511,5.60908,1.12847,0.43816,0.24711,0.23489,0.17924,1.12729,4.70999,1.00607,8.057e-05,8.057e-05,8.057e-05
6,21.9649,1.27238,4.3802,1.03947,0.40672,0.33915,0.33297,0.25322,1.15056,5.94164,0.98654,9.57313e-05,9.57313e-05,9.57313e-05
7,25.5201,1.10748,3.51009,0.98073,0.25193,0.38796,0.32784,0.24963,1.09018,6.18666,0.98196,0.00011015,0.00011015,0.00011015
8,28.8866,1.00556,2.897,0.95358,0.50609,0.37761,0.4244,0.3081,1.02463,5.26737,0.94538,0.000123826,0.000123826,0.000123826
9,32.347,0.97257,2.5896,0.93943,0.65575,0.4853,0.56488,0.41006,0.97031,6.077,0.91886,0.00013676,0.00013676,0.00013676
10,35.8138,0.8798,2.14186,0.90938,0.6335,0.52314,0.60133,0.43176,0.90903,4.80747,0.91286,0.000148951,0.000148951,0.000148951
11,39.1425,0.79839,1.87259,0.89183,0.82878,0.59791,0.67232,0.4913,0.83612,3.32641,0.93355,0.0001604,0.0001604,0.0001604
12,42.395,0.75977,1.67334,0.87055,0.78499,0.71776,0.74646,0.57848,0.84436,2.97291,0.90182,0.000171106,0.000171106,0.000171106
13,45.4335,0.77346,1.57946,0.89096,0.70887,0.67289,0.70983,0.54877,0.80206,3.41269,0.89558,0.00018107,0.00018107,0.00018107
14,48.2868,0.75317,1.47446,0.89453,0.64011,0.74067,0.67027,0.52838,0.79893,4.0052,0.89566,0.000190291,0.000190291,0.000190291
