epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6021,2.76458,8.4204,1.71813,0.25581,0.08604,0.00305,0.00127,3.05635,9.44743,2.0355,0,0,0
2,14.3156,2.6179,12.9493,1.7284,0.25584,0.08604,0.00296,0.00117,3.07875,9.52201,2.0589,1.22525e-05,1.22525e-05,1.22525e-05
3,15.0238,2.49142,10.1929,1.63706,0.2547,0.07846,0.00238,0.00109,3.08937,9.56262,2.0735,2.401e-05,2.401e-05,2.401e-05
4,15.7033,2.59262,11.4819,1.70175,0.25348,0.06818,0.00228,0.001,3.1356,9.5764,2.09436,3.52725e-05,3.52725e-05,3.52725e-05
5,16.3723,2.63068,10.4943,1.80633,0.25525,0.08604,0.0022,0.00097,3.16709,9.6497,2.10416,4.604e-05,4.604e-05,4.604e-05
6,17.0459,2.61944,13.5355,1.861,0.25468,0.08086,0.00208,0.00087,3.21277,9.78045,2.11371,5.63125e-05,5.63125e-05,5.63125e-05
7,17.7152,2.56227,10.3478,1.75096,0.25487,0.08604,0.00203,0.00085,3.2588,9.93419,2.12307,6.609e-05,6.609e-05,6.609e-05
8,18.3926,2.8781,11.9471,1.92229,0.25462,0.08604,0.00198,0.00081,3.28049,10.0477,2.1267,7.53725e-05,7.53725e-05,7.53725e-05
9,19.0628,2.63387,10.9911,1.7414,0.25454,0.08604,0.00194,0.00081,3.30909,10.1581,2.12623,8.416e-05,8.416e-05,8.416e-05
10,19.7687,2.46751,10.5842,1.72109,0.33721,0.01786,0.02304,0.01923,1.04302,4.91335,1.01355,9.24525e-05,9.24525e-05,9.24525e-05
11,20.8029,1.53414,5.86776,1.14621,0.02636,0.37338,0.05573,0.04381,0.90261,3.98695,0.92296,0.00010025,0.00010025,0.00010025
12,21.8428,1.28099,4.755,0.94359,0.41659,0.15152,0.11831,0.07754,0.88117,3.27308,0.87906,0.000107553,0.000107553,0.000107553
13,22.8962,1.27434,4.10576,0.96186,0.44627,0.34578,0.19171,0.12799,0.91715,3.03596,0.86054,0.00011436,0.00011436,0.00011436
14,23.9471,1.18014,3.31035,0.93452,0.45901,0.39123,0.22622,0.15856,1.01774,3.11217,0.88444,0.000120672,0.000120672,0.000120672
15,24.9923,1.15172,3.30465,0.99109,0.45814,0.48945,0.25974,0.17951,1.05896,3.06718,0.89901,0.00012649,0.00012649,0.00012649
16,26.0457,1.12914,3.24827,0.98866,0.22602,0.62338,0.3071,0.21338,1.09124,2.97745,0.90615,0.000131813,0.000131813,0.000131813
17,27.1042,1.01975,2.92302,0.90291,0.21444,0.58774,0.33939,0.23627,1.12525,2.74657,0.90399,0.00013664,0.00013664,0.00013664
18,28.1669,1.14541,3.12215,0.92789,0.46469,0.53156,0.38031,0.25517,1.11733,2.57265,0.89358,0.000140972,0.000140972,0.000140972
19,29.2133,1.04625,2.72233,0.9168,0.37511,0.84986,0.59257,0.45112,1.03611,2.52152,0.88131,0.00014481,0.00014481,0.00014481
20,30.2716,1.03164,2.38551,0.90513,0.40259,0.86311,0.63329,0.49572,0.96576,2.42969,0.86828,0.000148153,0.000148153,0.000148153
21,31.3059,0.85022,2.44676,0.90832,0.48866,0.80898,0.62948,0.47043,1.04048,2.40269,0.87924,0.000151,0.000151,0.000151
22,32.2888,1.01407,2.27845,0.88148,0.4835,0.79113,0.63519,0.47673,0.9466,2.40005,0.87604,0.000153353,0.000153353,0.000153353
23,33.2846,0.92628,2.52841,0.87545,0.45383,0.79927,0.57882,0.44517,0.83973,2.38513,0.86573,0.00015521,0.00015521,0.00015521
24,34.2603,0.84993,2.10722,0.88385,0.49266,0.79445,0.56999,0.45568,0.8566,2.33867,0.8557,0.000156573,0.000156573,0.000156573
25,35.2522,0.81965,2.18983,0.89271,0.4792,0.68597,0.55634,0.44185,0.92049,2.39393,0.85273,0.00015744,0.00015744,0.00015744
26,36.2448,0.91398,1.95797,0.87622,0.47948,0.59017,0.56241,0.4391,0.994,2.61054,0.85412,0.000157812,0.000157812,0.000157812
27,37.2352,0.89717,2.00814,0.93471,0.46403,0.73652,0.55766,0.41503,0.95809,2.90414,0.85024,0.00015769,0.00015769,0.00015769
28,38.2046,0.8159,1.83849,0.88112,0.54427,0.705,0.56456,0.42684,0.88639,3.2751,0.85123,0.000157072,0.000157072,0.000157072
29,39.1867,0.93949,1.82188,0.93934,0.50013,0.64232,0.51221,0.39178,0.88951,3.758,0.85589,0.00015596,0.00015596,0.00015596
30,40.1665,0.7973,1.58668,0.87443,0.53525,0.61959,0.52004,0.39872,0.89771,4.42038,0.86191,0.000154352,0.000154352,0.000154352
31,41.1282,0.81341,1.61762,0.9077,0.45008,0.68804,0.47734,0.37118,0.95237,5.18543,0.86703,0.00015225,0.00015225,0.00015225
32,42.0841,0.81126,1.78157,0.89162,0.57324,0.56971,0.4753,0.37097,1.03595,5.73436,0.87735,0.000149652,0.000149652,0.000149652
33,43.0536,0.79726,1.6396,0.86877,0.43412,0.60687,0.45148,0.36516,0.96239,5.79373,0.8715,0.00014656,0.00014656,0.00014656
34,44.009,0.76512,1.62962,0.88044,0.49581,0.52464,0.46591,0.36282,0.88514,5.70843,0.8648,0.000142972,0.000142972,0.000142972
35,45.0422,0.81386,1.52007,0.87679,0.48181,0.55125,0.47023,0.36083,0.9062,5.4917,0.86985,0.00013889,0.00013889,0.00013889
36,46.1046,0.77269,1.36799,0.89346,0.51541,0.57819,0.48931,0.37375,0.91752,5.14864,0.8715,0.000134313,0.000134313,0.000134313
37,47.1578,0.77202,1.4827,0.88507,0.50762,0.71538,0.48923,0.37456,0.92269,4.86226,0.8669,0.00012924,0.00012924,0.00012924
38,48.2161,0.77838,1.34844,0.86175,0.47717,0.68696,0.48702,0.38495,0.84428,4.54097,0.8562,0.000123672,0.000123672,0.000123672
39,49.2715,0.73793,1.46366,0.86457,0.47812,0.72338,0.48569,0.38017,0.82476,4.55899,0.85235,0.00011761,0.00011761,0.00011761
40,50.3175,0.71177,1.35574,0.85583,0.4694,0.72086,0.4863,0.39015,0.77873,4.54756,0.84787,0.000111052,0.000111052,0.000111052
41,57.6814,0.7055,1.36695,0.84457,0.48339,0.7054,0.47281,0.39422,0.7681,4.57096,0.84593,0.000104,0.000104,0.000104
42,58.9205,0.7022,1.38686,0.83219,0.44459,0.74012,0.48948,0.39228,0.81165,4.4888,0.84763,9.64525e-05,9.64525e-05,9.64525e-05
43,59.9808,0.69583,1.30083,0.82458,0.44492,0.7764,0.50497,0.38885,0.8635,4.14153,0.85078,8.841e-05,8.841e-05,8.841e-05
44,60.957,0.70768,1.25174,0.81055,0.51126,0.68309,0.50701,0.38963,0.85729,3.53157,0.84978,7.98725e-05,7.98725e-05,7.98725e-05
45,61.8966,0.65792,1.22611,0.80849,0.53646,0.65233,0.50496,0.39188,0.80809,3.02203,0.84835,7.084e-05,7.084e-05,7.084e-05
46,62.8618,0.60235,1.28888,0.78996,0.52455,0.6797,0.51385,0.40592,0.77339,2.62641,0.84435,6.13125e-05,6.13125e-05,6.13125e-05
47,63.8003,0.64968,1.18491,0.80392,0.52494,0.64117,0.52611,0.41844,0.76066,2.36605,0.84154,5.129e-05,5.129e-05,5.129e-05
48,64.7571,0.65332,1.23523,0.83833,0.54925,0.59298,0.53094,0.43619,0.74989,2.19017,0.8393,4.07725e-05,4.07725e-05,4.07725e-05
49,65.705,0.67803,1.1969,0.78941,0.5012,0.70043,0.5415,0.44739,0.75681,2.07827,0.83808,2.976e-05,2.976e-05,2.976e-05
50,66.6424,0.56647,1.11154,0.80031,0.4893,0.69049,0.5431,0.42698,0.74946,1.96113,0.83598,1.82525e-05,1.82525e-05,1.82525e-05
