epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34647,2.63235,9.41364,1.80549,0.25431,0.02358,0.00191,0.0009,2.99248,8.70987,1.89652,1.25e-05,1.25e-05,1.25e-05
2,9.30758,2.61211,10.6562,1.7276,0.25421,0.02358,0.00182,0.00079,3.02488,8.80701,1.91772,3.67575e-05,3.67575e-05,3.67575e-05
3,11.1978,2.46144,9.89171,1.68743,0.25408,0.02358,0.00175,0.00076,3.05395,8.9029,1.937,6.0025e-05,6.0025e-05,6.0025e-05
4,13.0728,2.69954,11.8108,1.83554,0.25411,0.02358,0.00171,0.00071,3.10399,9.09121,1.95959,8.23025e-05,8.23025e-05,8.23025e-05
5,14.942,2.65002,10.6477,1.79632,0.2541,0.02358,0.00166,0.00069,3.14123,9.2376,1.97776,0.00010359,0.00010359,0.00010359
6,16.8006,2.49594,10.5117,1.69518,0.00638,0.25385,0.00514,0.00257,1.1335,4.79841,1.01378,0.000123888,0.000123888,0.000123888
7,19.1217,1.36501,5.2225,1.04979,0.4576,0.24435,0.17044,0.12584,0.86288,3.3241,0.89328,0.000143195,0.000143195,0.000143195
8,21.4549,1.16826,3.40708,0.93853,0.51209,0.52373,0.27399,0.18239,1.05962,3.07296,0.88848,0.000161513,0.000161513,0.000161513
9,23.8286,1.13817,2.93663,0.94137,0.49555,0.37846,0.25748,0.18108,1.06742,3.0663,0.90586,0.00017884,0.00017884,0.00017884
10,26.1185,1.14898,2.62469,0.93423,0.51785,0.57084,0.40249,0.27726,1.1001,2.89215,0.90979,0.000195178,0.000195178,0.000195178
11,28.3792,0.98589,2.26986,0.8957,0.55498,0.6173,0.50659,0.37871,0.92321,2.5416,0.87582,0.000210525,0.000210525,0.000210525
12,30.6342,0.89272,2.09367,0.89069,0.46523,0.81555,0.59881,0.42697,0.99672,2.55519,0.868,0.000224883,0.000224883,0.000224883
13,32.8269,0.88023,1.9019,0.89586,0.54416,0.6611,0.59632,0.47335,0.78328,2.46157,0.86027,0.00023825,0.00023825,0.00023825
