epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,96.0298,0.51885,0.58006,0.80441,0.88893,0.89348,0.92078,0.72217,0.69698,0.6214,0.81288,0.00016848,0.00016848,0.00016848
42,98.0671,0.51168,0.5639,0.80404,0.92059,0.87536,0.92453,0.74184,0.6209,0.57336,0.80884,0.000156206,0.000156206,0.000156206
43,99.9714,0.50711,0.55572,0.79293,0.93267,0.8804,0.92863,0.77451,0.59179,0.53358,0.8047,0.00014314,0.00014314,0.00014314
44,101.918,0.48571,0.54016,0.78727,0.93676,0.88094,0.93125,0.77104,0.62298,0.5291,0.80526,0.000129282,0.000129282,0.000129282
45,103.934,0.48228,0.52622,0.80893,0.94661,0.87723,0.92993,0.76632,0.60604,0.54397,0.80558,0.000114632,0.000114632,0.000114632
46,106.004,0.45333,0.51829,0.78966,0.92685,0.87341,0.92392,0.77941,0.56062,0.53711,0.80151,9.919e-05,9.919e-05,9.919e-05
47,108.083,0.45963,0.49273,0.80356,0.93405,0.87488,0.91964,0.77297,0.56498,0.54565,0.79906,8.2956e-05,8.2956e-05,8.2956e-05
48,110.208,0.44962,0.48052,0.79246,0.93367,0.86743,0.91909,0.77921,0.57451,0.55884,0.80016,6.593e-05,6.593e-05,6.593e-05
49,112.202,0.44319,0.49707,0.79681,0.94315,0.87154,0.9215,0.7869,0.54911,0.5529,0.80078,4.8112e-05,4.8112e-05,4.8112e-05
50,114.307,0.4358,0.46941,0.8039,0.95488,0.86619,0.92507,0.791,0.53655,0.53604,0.80094,2.9502e-05,2.9502e-05,2.9502e-05
