epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65865,3.37746,25.0739,1.73829,7e-05,0.00433,4e-05,1e-05,3.82437,18.0174,1.67829,1e-05,1e-05,1e-05
2,5.87106,3.51442,32.6035,1.72662,7e-05,0.00433,4e-05,1e-05,3.83972,18.666,1.67493,2.9703e-05,2.9703e-05,2.9703e-05
3,7.7906,3.36931,26.7077,1.68857,7e-05,0.00433,4e-05,1e-05,3.84844,19.3289,1.67703,4.901e-05,4.901e-05,4.901e-05
4,9.72334,3.3681,24.8832,1.64259,7e-05,0.00433,4e-05,1e-05,3.89424,20.1185,1.6842,6.7921e-05,6.7921e-05,6.7921e-05
5,11.6512,3.48934,25.7723,1.64836,7e-05,0.00433,4e-05,1e-05,3.92497,20.752,1.69014,8.6436e-05,8.6436e-05,8.6436e-05
6,13.5386,3.37003,21.961,1.73814,0.0002,0.00859,0.0001,7e-05,2.85462,10.5317,1.2772,0.000104555,0.000104555,0.000104555
7,16.0054,2.37343,9.87003,1.24423,0.35906,0.01074,0.00382,0.00181,2.02186,7.04677,1.03342,0.000122278,0.000122278,0.000122278
8,18.2491,2.06021,7.69325,1.02447,0.24194,0.03304,0.01302,0.00588,2.0076,7.08651,1.03746,0.000139605,0.000139605,0.000139605
9,20.4589,1.68263,6.03992,0.92932,0.2596,0.05038,0.02237,0.01151,2.01977,7.05289,1.04052,0.000156536,0.000156536,0.000156536
10,22.654,1.6989,6.00092,0.90377,0.30837,0.04755,0.03029,0.01701,1.84467,7.39231,0.96901,0.000173071,0.000173071,0.000173071
11,24.8739,1.57283,4.40213,0.89178,0.15387,0.05163,0.03106,0.01795,1.82398,8.9753,0.93796,0.00018921,0.00018921,0.00018921
12,27.0599,1.57115,4.09207,0.89351,0.1518,0.05767,0.03841,0.02251,1.75952,8.76317,0.92812,0.000204953,0.000204953,0.000204953
13,29.2269,1.59149,3.71113,0.91218,0.14436,0.07289,0.04138,0.02538,1.68142,7.3629,0.92406,0.0002203,0.0002203,0.0002203
14,31.3519,1.5557,3.37771,0.90248,0.17133,0.07763,0.04797,0.03,1.68244,6.69389,0.91113,0.000235251,0.000235251,0.000235251
15,33.4415,1.53747,2.93147,0.90438,0.24274,0.07701,0.05749,0.03352,1.79884,7.41678,0.90632,0.000249806,0.000249806,0.000249806
16,35.4929,1.67752,3.13607,0.89253,0.2694,0.08271,0.0638,0.03693,1.67975,8.83097,0.9024,0.000263965,0.000263965,0.000263965
17,37.5393,1.5682,2.53368,0.87837,0.23057,0.09406,0.06176,0.03236,1.66408,7.47743,0.8938,0.000277728,0.000277728,0.000277728
18,39.5032,1.42689,2.38595,0.88276,0.23195,0.07851,0.05357,0.03098,1.57695,6.14374,0.88257,0.000291095,0.000291095,0.000291095
19,41.4263,1.36378,2.02403,0.85972,0.24897,0.06188,0.06385,0.03365,1.79753,4.81722,0.89537,0.000304066,0.000304066,0.000304066
