epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98817,2.57056,10.1369,1.76122,0.25274,0.01667,0.00102,0.00048,3.22684,10.1737,2.06272,0,0,0
2,5.11662,2.5568,9.83979,1.75494,0.25272,0.01667,0.00101,0.00047,3.27959,10.2366,2.09319,1.22525e-05,1.22525e-05,1.22525e-05
3,6.04856,2.63865,10.7877,1.83178,0.25271,0.01667,0.00101,0.00047,3.31862,10.2733,2.12187,2.401e-05,2.401e-05,2.401e-05
4,6.92756,2.46072,9.85826,1.7931,0.25271,0.01667,0.00101,0.00047,3.34762,10.3279,2.13998,3.52725e-05,3.52725e-05,3.52725e-05
5,7.78851,2.43564,9.20476,1.6799,0.25275,0.01667,0.001,0.00046,3.35553,10.3154,2.15003,4.604e-05,4.604e-05,4.604e-05
6,8.64169,2.39873,9.96713,1.71781,0.25273,0.01667,0.001,0.00045,3.39302,10.4292,2.16871,5.63125e-05,5.63125e-05,5.63125e-05
7,9.50245,2.5263,8.90429,1.74164,0.25266,0.01667,0.00098,0.00044,3.41641,10.5423,2.18015,6.609e-05,6.609e-05,6.609e-05
8,10.3604,2.70686,10.2191,1.90672,0.2526,0.01667,0.00097,0.00043,3.44623,10.7286,2.19192,7.53725e-05,7.53725e-05,7.53725e-05
9,11.2282,2.45433,10.6884,1.74439,0.25259,0.01667,0.00096,0.00043,3.46565,10.8036,2.19662,8.416e-05,8.416e-05,8.416e-05
10,12.0962,2.45391,9.7727,1.65532,0.25258,0.01667,0.00065,0.0004,3.49753,10.8858,2.20275,9.24525e-05,9.24525e-05,9.24525e-05
11,12.9695,2.49334,11.8517,1.6603,0.00098,0.01087,0.00232,0.0015,1.35315,5.27181,1.09086,0.00010025,0.00010025,0.00010025
12,14.1938,1.62889,6.03419,1.23203,0.0777,0.0375,0.05359,0.04346,1.11477,4.34742,0.98652,0.000107553,0.000107553,0.000107553
13,15.4199,1.33687,4.90834,1.03519,0.1499,0.18931,0.11839,0.08882,1.07802,3.72162,0.9334,0.00011436,0.00011436,0.00011436
14,16.6552,1.15207,3.96405,0.97399,0.26022,0.30362,0.22261,0.15854,1.03673,3.59095,0.8889,0.000120672,0.000120672,0.000120672
15,17.9063,1.25693,3.3687,0.97266,0.24937,0.46256,0.25869,0.1884,0.97378,3.56464,0.87143,0.00012649,0.00012649,0.00012649
16,19.1665,1.13959,3.6712,0.95926,0.25259,0.44457,0.26323,0.19589,1.00467,3.32087,0.88522,0.000131813,0.000131813,0.000131813
17,20.4249,1.07279,2.68222,0.94845,0.24876,0.42536,0.25927,0.18704,1.03946,3.21203,0.87585,0.00013664,0.00013664,0.00013664
18,21.6183,0.97153,3.06181,0.91452,0.23673,0.46306,0.24101,0.17507,0.99517,3.29347,0.87586,0.000140972,0.000140972,0.000140972
19,22.8233,1.03242,2.71202,0.92416,0.26997,0.42785,0.24599,0.17269,0.98502,3.1882,0.88293,0.00014481,0.00014481,0.00014481
