epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.997,1.42346,1.29433,0.885,0.55947,0.17747,0.18975,0.08731,1.69997,1.45352,0.89041,0.000493103,0.000493103,0.000493103
43,119.709,1.32453,1.26987,0.86178,0.47209,0.16548,0.17695,0.07719,1.83952,1.63553,0.90171,0.00049657,0.00049657,0.00049657
44,122.361,1.31458,1.13846,0.87227,0.38796,0.15308,0.16693,0.06791,1.71124,1.61909,0.8926,0.000499641,0.000499641,0.000499641
45,124.993,1.4354,1.22371,0.85864,0.4624,0.16788,0.1721,0.08185,1.64445,1.688,0.87359,0.000502316,0.000502316,0.000502316
46,127.654,1.33478,1.15006,0.87273,0.32781,0.10903,0.11188,0.05328,1.61097,2.03655,0.87439,0.000504595,0.000504595,0.000504595
47,130.308,1.39353,1.23075,0.90468,0.36866,0.13,0.12955,0.07014,1.42448,1.8233,0.86296,0.000506478,0.000506478,0.000506478
48,132.97,1.4005,1.17396,0.87442,0.37738,0.15438,0.14315,0.07757,1.54671,1.71577,0.87225,0.000507965,0.000507965,0.000507965
49,135.627,1.4746,1.21862,0.88207,0.45887,0.16264,0.1581,0.08291,1.46898,1.68338,0.85769,0.000509056,0.000509056,0.000509056
50,138.269,1.35508,1.21717,0.8808,0.55502,0.17807,0.18319,0.08651,1.60872,1.71227,0.86635,0.000509751,0.000509751,0.000509751
51,140.901,1.38892,1.20073,0.8731,0.47089,0.16487,0.17586,0.09149,1.56257,1.74106,0.86366,0.000505,0.000505,0.000505
52,143.618,1.25314,1.13006,0.86917,0.53905,0.16521,0.1798,0.09746,1.49876,1.53553,0.86297,0.0004951,0.0004951,0.0004951
53,146.31,1.28553,1.14909,0.8468,0.49483,0.15349,0.15362,0.08006,1.63027,1.7416,0.87549,0.0004852,0.0004852,0.0004852
54,148.961,1.25277,1.05546,0.87649,0.44347,0.15492,0.15819,0.06924,1.89053,1.91334,0.89736,0.0004753,0.0004753,0.0004753
55,151.618,1.40204,1.06247,0.87949,0.43308,0.16488,0.16336,0.08493,1.65202,1.69103,0.88515,0.0004654,0.0004654,0.0004654
56,154.299,1.3585,1.09181,0.86598,0.4843,0.17863,0.18864,0.09596,1.57655,1.57567,0.87343,0.0004555,0.0004555,0.0004555
57,156.967,1.25175,1.01899,0.87014,0.5351,0.16331,0.17702,0.09415,1.56421,1.80648,0.85988,0.0004456,0.0004456,0.0004456
58,159.652,1.28593,1.06745,0.86547,0.49276,0.14129,0.15452,0.07964,1.56441,2.03893,0.85713,0.0004357,0.0004357,0.0004357
59,162.313,1.2182,0.96493,0.8589,0.44395,0.15178,0.1711,0.08671,1.48432,2.00489,0.86319,0.0004258,0.0004258,0.0004258
60,164.983,1.23613,1.04755,0.85724,0.50208,0.15459,0.18852,0.0937,1.54654,2.07755,0.86769,0.0004159,0.0004159,0.0004159
61,167.634,1.31646,1.06832,0.86873,0.63348,0.15478,0.19887,0.1109,1.49579,1.76476,0.87418,0.000406,0.000406,0.000406
62,170.337,1.36953,1.0949,0.90132,0.5824,0.1591,0.19068,0.09367,1.56955,1.6807,0.86785,0.0003961,0.0003961,0.0003961
63,172.995,1.27343,1.03696,0.87575,0.59213,0.178,0.19506,0.09484,1.53435,1.63848,0.87362,0.0003862,0.0003862,0.0003862
64,175.656,1.29326,1.07128,0.85377,0.53445,0.16809,0.19991,0.10563,1.48899,1.88198,0.88623,0.0003763,0.0003763,0.0003763
65,178.317,1.26499,1.01332,0.87156,0.42213,0.17127,0.19055,0.08834,1.64509,1.97914,0.90513,0.0003664,0.0003664,0.0003664
66,181.003,1.16694,0.94122,0.86596,0.5136,0.20777,0.21779,0.10014,1.6172,1.57039,0.87997,0.0003565,0.0003565,0.0003565
67,183.658,1.14533,0.8894,0.86662,0.53623,0.20295,0.20421,0.09113,1.73715,1.49752,0.87795,0.0003466,0.0003466,0.0003466
68,186.321,1.18621,0.92553,0.86339,0.50636,0.21004,0.1953,0.07403,2.14702,1.53243,0.92235,0.0003367,0.0003367,0.0003367
69,189.001,1.23744,0.87217,0.85246,0.53355,0.21779,0.21611,0.09861,1.7802,1.3823,0.88735,0.0003268,0.0003268,0.0003268
70,191.664,1.32912,0.97575,0.8789,0.55388,0.22376,0.21851,0.12072,1.34061,1.28779,0.85496,0.0003169,0.0003169,0.0003169
71,194.369,1.28223,0.89783,0.86305,0.55688,0.20456,0.21991,0.11259,1.54373,1.24618,0.86635,0.000307,0.000307,0.000307
72,197.056,1.19278,0.88288,0.87374,0.62379,0.21286,0.23399,0.11476,1.67729,1.24254,0.87725,0.0002971,0.0002971,0.0002971
73,199.712,1.20186,0.86583,0.86027,0.64385,0.21366,0.24217,0.1316,1.42269,1.16685,0.86352,0.0002872,0.0002872,0.0002872
